cif_file,size,l,w,h,objective,success,time_s,message,volume,sphericity,face_sphericity,mean_dim,lcmm,min_den,max_den,mean_den,median_den,unique_den_count,num_disordered_sites,per_site_denominators_str,valid_supercell_count,total_site_entropy
100193.cif,100,5,5,4,7.286975945017188,True,0.984,,100.0,0.9946261786313096,0.9986011884100714,4.666666666666667,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,200,8,5,5,21.751943871706775,True,3.857,,200.0,0.9746725794042885,0.9940504531058728,6.0,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,300,10,6,5,34.76211454753724,True,8.9575,,300.0,0.9563327858316706,0.9895895895666553,7.0,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,400,10,8,5,35.87498167239406,True,17.928,,400.0,0.961051695297492,0.9894490976831443,7.666666666666667,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,500,10,10,5,7.492414662084762,True,29.099,,500.0,0.9524406311809196,0.9862845669758196,8.333333333333334,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,600,10,10,6,10.409480717831233,True,43.343,,600.0,0.9731915368866336,0.992587716948545,8.666666666666666,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,700,10,10,7,8.691784214258439,True,69.644,,700.0,0.9865600019362228,0.996405949287919,9.0,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,800,10,10,8,11.191188907980154,True,73.526,,800.0,0.9946261786313096,0.9986011884100714,9.333333333333334,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,900,10,10,9,9.733199694539904,True,103.692,,900.0,0.9987821220058238,0.9996899107329574,9.666666666666666,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
100193.cif,1000,10,10,10,11.694509736540658,True,109.1,,1000.0,0.9999999999999998,0.9999999999999998,10.0,100,2,100,16.0,2,2,14,100|100|2|2|2|2|2|2|2|2|2|2|2|2,21,8.587250503078877
102028.cif,500,10,10,5,0.9116267176010726,True,2.711,,500.0,0.9524406311809196,0.9862845669758196,8.333333333333334,500,500,500,500.0,500,1,2,"85,85|85,85",32,0.6233919163476347
102028.cif,1000,10,10,10,1.2647170905589924,True,11.122,,1000.0,0.9999999999999998,0.9999999999999998,10.0,500,500,500,500.0,500,1,2,"85,85|85,85",32,0.6233919163476347
102207.cif,36,4,3,3,2.9537037037037033,True,0.091,,36.0,0.9905781746683878,0.9977416373263536,3.3333333333333335,2,2,2,2.0,2,1,8,"2,2|2,2|2,2|2,2|2,2|2,2|2,2|2,2",70,5.545177444479562
102207.cif,48,4,4,3,3.0972222222222205,True,0.125,,48.0,0.9911566869993488,0.9976684480746035,3.6666666666666665,2,2,2,2.0,2,1,8,"2,2|2,2|2,2|2,2|2,2|2,2|2,2|2,2",70,5.545177444479562
102207.cif,54,6,3,3,3.5555555555555562,True,0.15,,54.0,0.9449407874211548,0.987288781142779,4.0,2,2,2,2.0,2,1,8,"2,2|2,2|2,2|2,2|2,2|2,2|2,2|2,2",70,5.545177444479562
